Meses,Zonas,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Abril,GEFRON PORTO ESPERIDIAO,3550,0
Abril,GEFRON SANTA LUZIA,10685,0
Abril,GEFRON NOVA ESPERANCA,1495,0
Abril,GEFRON CACERES CANIL,39168,0
Abril,GEFRON POSTINHO,204,0
Abril,GEFRON ARAPUTANGA,14431,0
Abril,GEFRON MIRASOL D'OESTE,16382,0
Abril,GEFRON SALTO DO CEU,1650,0
Abril,GEFRON CERRO VERDE,176,0
Abril,GEFRON JAURU,509,0
Abril,GEFRON ADRIANOPOLIS,3062,0
Abril,GEFRON PONTES DE LACERDA,7014,0
Abril,GEFRON FAZENDA GUAPORE,1653,0
Abril,GEFRON VILA BELA,3038,0
Abril,GEFRON POSTO MATO,1507,0
Abril,GEFRON PONTA DO ATERRO,171,0
Abril,GEFRON RIO BRANCO MORRO,7683,0
Abril,GEFRON COMODORO CLARO,225,0
