Meses,Zonas,"Total_de_chamadas
",Numero_de_chamadas_com_progresso_feitas
Agosto,GEFRON PORTO ESPERIDIAO,1596,0
Agosto,GEFRON SANTA LUZIA,6112,0
agosto,GEFRON NOVA ESPERANCA,298,0
agosto,GEFRON CACERES CANIL,36979,0
agosto,GEFRON POSTINHO,8,0
agosto,GEFRON ARAPUTANGA,13204,0
agosto,GEFRON MIRASOL D'OESTE,23055,0
agosto,GEFRON SALTO DO CEU,618,0
agosto,GEFRON ADRIANOPOLIS,1490,0
agosto,GEFRON PONTES DE LACERDA,4899,0
agosto,GEFRON FAZENDA GUAPORE,880,0
agosto,GEFRON VILA BELA,2321,0
agosto,GEFRON POSTO MATO,250,0
agosto,GEFRON PONTA DO ATERRO,218,0
agosto,GEFRON RIO BRANCO MORRO,9919,0
agosto,GEFRON COMODORO CLARO,3000,0
