Meses,Zonas,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Fevereiro,GEFRON PORTO ESPERIDIAO,8663,0
Fevereiro,GEFRON SANTA LUZIA,6447,0
fevereiro,GEFRON NOVA ESPERANCA,1209,0
fevereiro,GEFRON CACERES CANIL,22821,0
fevereiro,GEFRON POSTINHO,193,0
fevereiro,GEFRON ARAPUTANGA,9341,0
fevereiro,GEFRON MIRASOL D'OESTE,10916,0
fevereiro,GEFRON CERRO VERDE,324,0
fevereiro,GEFRON JAURU,3080,0
fevereiro,GEFRON ADRIANOPOLIS,1456,0
fevereiro,GEFRON PONTES DE LACERDA,6564,0
fevereiro,GEFRON FAZENDA GUAPORE,398,0
fevereiro,GEFRON VILA BELA,3651,0
fevereiro,GEFRON POSTO MATO,1323,0
fevereiro,GEFRON PONTA DO ATERRO,23,0
fevereiro,GEFRON RIO BRANCO MORRO,6061,0
fevereiro,GEFRON COMODORO CLARO,450,0
