Meses,Zonas,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Janeiro,GEFRON PORTO ESPERIDIAO,2453,0
Janeiro,GEFRON SANTA LUZIA,8961,0
janeiro,GEFRON NOVA ESPERANCA,1786,0
janeiro,GEFRON CACERES CANIL,32180,0
janeiro,GEFRON POSTINHO,187,0
janeiro,GEFRON ARAPUTANGA,11993,
janeiro,GEFRON MIRASOL D'OESTE,13046,0
janeiro,GEFRON SALTO DO CEU,434,0
janeiro,GEFRON CERRO VERDE,225,0
janeiro,GEFRON JAURU,1863,0
janeiro,GEFRON ADRIANOPOLIS,1103,0
janeiro,GEFRON PONTES DE LACERDA,5954,0
janeiro,GEFRON FAZENDA GUAPORE,449,0
janeiro,GEFRON VILA BELA,2951,0
janeiro,GEFRON POSTO MATO,1745,0
janeiro,GEFRON PONTA DO ATERRO,71,0
janeiro,GEFRON RIO BRANCO MORRO,3931,0
janeiro,GEFRON COMODORO CLARO,518,0
