Meses,Zonas,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Julho,GEFRON PORTO ESPERIDIAO,1928,0
Julho,GEFRON SANTA LUZIA,4137,0
julho,GEFRON NOVA ESPERANCA,310,0
julho,GEFRON CACERES CANIL,21616,0
julho,GEFRON POSTINHO,129,0
julho,GEFRON ARAPUTANGA,9476,0
julho,GEFRON MIRASOL D'OESTE,13294,0
julho,GEFRON SALTO DO CEU,3466,0
julho,GEFRON CERRO VERDE,1,0
julho,GEFRON JAURU,39,0
julho,GEFRON ADRIANOPOLIS,1698,0
julho,GEFRON PONTES DE LACERDA,8375,0
julho,GEFRON FAZENDA GUAPORE,662,0
julho,GEFRON VILA BELA,2161,0
julho,GEFRON POSTO MATO,592,0
julho,GEFRON PONTA DO ATERRO,44,0
julho,GEFRON RIO BRANCO MORRO,6116,0
julho,GEFRON COMODORO CLARO,1431,0
