Meses,Zonas,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Junho,GEFRON PORTO ESPERIDIAO,3823,0
Junho,GEFRON SANTA LUZIA,7483,0
junho,GEFRON NOVA ESPERANCA,1344,0
junho,GEFRON CACERES CANIL,33526,0
junho,GEFRON POSTINHO,103,0
junho,GEFRON ARAPUTANGA,12074,0
junho,GEFRON MIRASOL D'OESTE,18152,0
junho,GEFRON SALTO DO CEU,7045,0
junho,GEFRON CERRO VERDE,127,0
junho,GEFRON JAURU,377,0
junho,GEFRON ADRIANOPOLIS,1610,0
junho,GEFRON PONTES DE LACERDA,4736,0
junho,GEFRON FAZENDA GUAPORE,1511,0
junho,GEFRON VILA BELA,2066,0
junho,GEFRON POSTO MATO,809,0
junho,GEFRON PONTA DO ATERRO,35,0
junho,GEFRON RIO BRANCO MORRO,9617,0
junho,GEFRON COMODORO CLARO,289,0
