Meses,Zonas,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Março,GEFRON PORTO ESPERIDIAO,3585,0
Marco,GEFRON SANTA LUZIA,13189,0
Março,GEFRON NOVA ESPERANCA,1624,0
Março,GEFRON CACERES CANIL,35825,0
Março,GEFRON POSTINHO,212,0
Março,GEFRON ARAPUTANGA,15273,0
Março,GEFRON MIRASOL D'OESTE,15776,0
Março,GEFRON CERRO VERDE,501,0
Março,GEFRON JAURU,1665,0
Março,GEFRON ADRIANOPOLIS,2922,0
Março,GEFRON PONTES DE LACERDA,6948,0
Março,GEFRON FAZENDA GUAPORE,1307,0
Março,GEFRON VILA BELA,4806,0
Março,GEFRON POSTO MATO,1542,0
Março,GEFRON PONTA DO ATERRO,215,0
Março,GEFRON RIO BRANCO MORRO,9995,0
Março,GEFRON COMODORO CLARO,114,0
