Meses,Zone,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Novembro,GEFRON PORTO ESPERIDIAO,2292,0
Novembro,GEFRON SANTA LUZIA,4746,0
novembro,GEFRON NOVA ESPERANCA,462,0
novembro,GEFRON CACERES CANIL,28140,0
novembro,GEFRON POSTINHO,119,0
novembro,GEFRON ARAPUTANGA,10464,0
novembro,GEFRON MIRASOL D'OESTE,15279,0
novembro,GEFRON CERRO VERDE,302,0
novembro,GEFRON JAURU,1895,0
novembro,GEFRON ADRIANOPOLIS,734,0
novembro,GEFRON PONTES DE LACERDA,3661,0
novembro,GEFRON FAZENDA GUAPORE,248,0
novembro,GEFRON VILA BELA,647,0
novembro,GEFRON POSTO MATO,737,0
novembro,GEFRON PONTA DO ATERRO,7,0
novembro,GEFRON COMODORO CLARO,1545,0
