Meses,Zonas,Total de chamadas,Numero de Chamadas Totais com progresso(feita)
Anual,AGROVILA PALMEIRAS,167618,167618
Anual,ACORIZAL,82026,82026
Anual,ALTO ARAGUAIA,134325,134325
Anual,ALTO ARAGUAIA - 020294,49886,49886
Anual,ALTO GARÇAS,115527,115527
Anual,ALTO PARAGUAI,28464,28464
Anual,ALTO TAQUARI,143707,143707
Anual,ANA TERRA,28495,28495
Anual,ARAGUAIANA,116317,116317
Anual,ARAGUAINA,32570,32570
Anual,ARENA PANTANAL(CBA),816124,816124
Anual,ARENAPOLIS,61478,61478
Anual,BARAO MELGAÇO,152344,152344
Anual,BARRA DO GARCA 1,177608,177608
Anual,BARRA DO GARCA 2,155782,155782
Anual,BAUXI,25751,25751
Anual,BOA ESPERANCA (CBA),1082050,1082050
Anual,BOA ESPERANCA (MUNICIPIO),92763,92763
Anual,BOM JARDIM,92990,92990
Anual,BRIANORTE,9721,9721
Anual,CAMPO VERDE,87377,87377
Anual,CHAPADA DO GUIMARAES,329206,329206
Anual,CLAUDIA,115914,115914
Anual,COXIPO DO OURO (CBA),126651,126651
Anual,DECIOLANDIA,48585,48585
Anual,DIAMANTINO (EX-PRF),5375,5375
Anual,DIAMANTINO(NOVO),42382,42382
Anual,DIAMANTINO(VELHO),51292,51292
Anual,DISTRITO DA GUIA,143951,143951
Anual,DISTRITO INDUSTRIAL (CBA),848175,848175
Anual,DOM AQUINO,32605,32605
Anual,DOM AQUINO - 020598,46549,46549
Anual,DOM AQUINO(PEDRA PRETA),128876,128876
Anual,FELIZ NATAL,108359,108359
Anual,GAUCHA NORTE,33425,33425
Anual,GENERAL CARNEIRO,102270,102270
Anual,GROSLANDIA,10600,10600
Anual,GUIRATINGA,135048,135048
Anual,IPIRANGA DO NORTE,90589,90589
Anual,ITANHANGA,45502,45502
Anual,ITIQUIRA,133063,133063
Anual,JACIARA,122940,122940
Anual,JADURE,23931,23931
Anual,JANGADA,57077,57077
Anual,JARDIM GLORIA (VG),1129738,1129738
Anual,JUSCIMEIRA,69927,69927
Anual,LIVRAMENTO,188053,188053
Anual,LUCAS DO RIO VERDE,134031,134031
Anual,MANSO,72658,72658
Anual,MORRO DA LUZ (CBA),1410503,1410503
Anual,NOBRES,127461,127461
Anual,NORTELANDIA,61570,61570
Anual,NOVA BRASILANDIA,33660,33660
Anual,NOVA MARILANDIA,63676,63676
Anual,NOVA MARINGA,30074,30074
Anual,NOVA MUTUM,300372,300372
Anual,NOVA SÃO JOAQUIM,98889,98889
Anual,NOVA UBIRATA,84466,84466
Anual,PARANATINGA,30351,30351
Anual,PARQUE LAGO (VG),1038670,1038670
Anual,PEDRA 90 (CBA),686062,686062
Anual,PLANALTO DA SERRA,37591,37591
Anual,POCONE,371646,371646
Anual,PONTAL DO MARAPE,13012,13012
Anual,PONTE BRANCA (PEDRA PRETA),76045,76045
Anual,POSTO GIL,30460,30460
Anual,POXOREO,69446,69446
Anual,PRF020195 (JACIARA),87695,87695
Anual,PRF020291(OURO BRANCO),105018,105018
Anual,PRF020472 - LUCAS DO RIO VERDE,39785,39785
Anual,PRF020472 - SAU 14,11410,11410
Anual,PRF020475 (NOVA MUTUM),20006,20006
Anual,PRF020476(NOVA MARILANDIA),11359,11359
Anual,PRF020478(DIAMANTINO),13907,13907
Anual,PRF020479 - SAU 12,8068,8068
Anual,PRF020693 (UOP SORRISO),16824,16824
Anual,PRF020694 (SORRISO PEDAGIO),53732,53732
Anual,PRF020695 - SINOP,16984,16984
Anual,PRF020697 - SINOP,10637,10637
Anual,PRF020894 (TABAZUL),53963,53963
Anual,PRIMAVERA DO LESTE,103390,103390
Anual,RANCHAO,38539,38539
Anual,REP 2 ROTA OESTE (ANHUMAS),152331,152331
Anual,RIBEIRAOZINHO,91655,91655
Anual,RONDONOPOLIS,332327,332327
Anual,RONDONOPOLIS 2,234815,234815
Anual,ROSARIO OESTE,138189,138189
Anual,SANTA CARMEN,89368,89368
Anual,SANTA ELVIRA (JUSCIMEIRA),55756,55756
Anual,SANTA RITA DO TRIVELATO,53871,53871
Anual,SANTIAGO NORTE,47810,47810
Anual,SANTO AFONSO,60343,60343
Anual,SANTO ANTONIO LESTE,51422,51422
Anual,SANTO ANTONIO LEVEGER,383568,383568
Anual,SÃO JOSE DO POVO,174404,174404
Anual,SÃO JOSE RIO CLARO,382707,382707
Anual,SÃO LOURENCO FATIMA(JUSCIMEIRA),94786,94786
Anual,SÃO MATHEUS (VG),586539,586539
Anual,SERRA BEROABA (RONDONOPOLIS),93653,93653
Anual,SINOP CLARO,162831,162831
Anual,SINOP SBT,297213,297213
Anual,SORRISO 2,204120,204120
Anual,SORRISO SBT,274347,274347
Anual,TAPURAH,60054,60054
Anual,TESOURO,158428,158428
Anual,TJMT (CBA),1775845,1775845
Anual,TORIXOREU,99833,99833
Anual,TRES BARRAS (CBA),1089325,1089325
Anual,TREVO CHAPADA,278601,278601
Anual,TREVO DE LIBRA(S.JOSE.R. CLARO),9225,9225
Anual,UNIAO DO SUL,142766,142766
Anual,VERA,147742,147742
Anual,VILA CANAÃ (VG),898956,898956
