Meses,Zonas,Total calls,Nº Total Calls (Out)
Anual,TJMT (CBA),2373647,62928
Anual,MORRO DA LUZ (CBA),2144953,246271
Anual,PARQUE LAGO (VG),1639777,55377
Anual,TRES BARRAS (CBA),1555434,2214
Anual,JARDIM GLORIA (VG),1496555,591126
Anual,BOA ESPERANCA (CBA),1445902,2590
Anual,DISTRITO INDUSTRIAL (CBA),1253332,68
Anual,VILA CANAÃ (VG),1174637,51356
Anual,ARENA PANTANAL(CBA),1099364,1418
Anual,PEDRA 90 (CBA),990834,67774
Anual,SÃO MATHEUS (VG),735178,69196
Anual,SANTO ANTONIO LEVEGER,575117,142116
Anual,RONDONOPOLIS,535759,38932
Anual,SINOP SBT,419502,2353
Anual,POCONE,404481,1136
Anual,RONDONOPOLIS 2,418993,716
Anual,SORRISO SBT,373399,1289
Anual,TREVO CHAPADA,357485,2662
Anual,SORRISO 2,311188,5521
Anual,CHAPADA DO GUIMARAES,318041,538
Anual,LIVRAMENTO,273278,43701
Anual,BARRA DO GARCA 1,246340,78918
Anual,DOM AQUINO(PEDRA PRETA),237796,6517
Anual,SÃO JOSE DO POVO,225004,95057
Anual,NOVA MUTUM,222772,68798
Anual,SINOP CLARO,220139,64243
Anual,BARAO MELGAÇO,215591,5199
Anual,DISTRITO DA GUIA,233925,2
Anual,TESOURO,206980,636
Anual,BARRA DO GARCA 2,231559,825
Anual,PRF020291(OURO BRANCO),200360,1954
Anual,GUIRATINGA,191870,793
Anual,ITIQUIRA,189807,313097
Anual,VERA,184960,340
Anual,UNIAO DO SUL,182198,497
Anual,JACIARA,179573,230
Anual,NOBRES,174205,63692
Anual,ALTO ARAGUAIA,169651,1063
Anual,LUCAS DO RIO VERDE,165865,28020
Anual,ALTO GARÇAS,162190,947
Anual,COXIPO DO OURO (CBA),160354,2684
Anual,FELIZ NATAL,151740,9996
Anual,ALTO TAQUARI,151084,982
Anual,REP 2 ROTA OESTE (ANHUMAS),149309,604
Anual,PRIMAVERA DO LESTE,139616,9926
Anual,GENERAL CARNEIRO,136480,224
Anual,TORIXOREU,133554,824
Anual,ROSARIO OESTE,131625,972
Anual,NOVA SÃO JOAQUIM,130327,377
