Meses,Zonas,Total de chamadas,Numero de Chamadas Totais com progresso(feita)
Anual,TJMT (CBA),1940864,130182
Anual,ARENA PANTANAL(CBA),1696329,241390
Anual,MORRO DA LUZ (CBA),1675784,257
Anual,TRES BARRAS (CBA),1434417,3979
Anual,JARDIM GLORIA (VG),1433109,76023
Anual,PARQUE LAGO (VG),1392468,2437
Anual,BOA ESPERANCA (CBA),1332490,636945
Anual,VILA CANAÃ (VG),1328502,1157
Anual,DISTRITO INDUSTRIAL (CBA),1125187,203
Anual,PEDRA 90 (CBA),1116871,31312
Anual,SÃO MATHEUS (VG),807739,1412
Anual,SANTO ANTONIO LEVEGER,606599,66887
Anual,RONDONOPOLIS,452281,85822
Anual,POCONE,437884,165136
Anual,RONDONOPOLIS 2,389454,43534
Anual,CHAPADA DO GUIMARAES,348244,2319
Anual,LIVRAMENTO,334735,1527
Anual,SINOP SBT,332687,1083
Anual,BARRA DO GARCA 1,328787,1677
Anual,SORRISO 2,308472,2062
Anual,BARAO MELGAÇO,275807,701
Anual,SORRISO SBT,270501,208
Anual,BARRA DO GARCA 2,246255,41220
Anual,SÃO JOSE DO POVO,240820,92295
Anual,DOM AQUINO(PEDRA PRETA),237163,6053
Anual,TESOURO,235952,77380
Anual,DISTRITO DA GUIA,228984,79431
Anual,SINOP CLARO,227182,54346
Anual,ITIQUIRA,213567,3129
Anual,GUIRATINGA,202683,0
Anual,COXIPO DO OURO (CBA),201180,186
Anual,FELIZ NATAL,186014,330
Anual,PRF020291(OURO BRANCO),182160,798
Anual,UNIAO DO SUL,179163,233995
Anual,GENERAL CARNEIRO,168310,254
Anual,SERRA BEROABA (RONDONOPOLIS),166714,339
Anual,TORIXOREU,161818,275
Anual,JACIARA,161298,74147
Anual,AGROVILA PALMEIRAS,161213,1044
Anual,RIBEIRAOZINHO,158311,18998
Anual,NOVA SÃO JOAQUIM,153731,680
Anual,ARAGUAIANA,151574,2754
Anual,PRIMAVERA DO LESTE,148835,13111
Anual,LUCAS DO RIO VERDE,148247,1258
Anual,NOVA MUTUM,147916,464
Anual,REP 2 ROTA OESTE (ANHUMAS),145523,4249
Anual,VERA,139254,181
Anual,NOBRES,136528,234
