Meses,Zonas,Total calls,Nº Total Calls (Out)
Dezembro,ARENA PANTANAL(CBA),26640,2106
Dezembro,MORRO DA LUZ (CBA),69792,6122
Dezembro,JARDIM GLORIA (VG),39210,1110
Dezembro,DISTRITO DA GUIA,5858,45
Dezembro,TJMT (CBA),63245,14065
Dezembro,TREVO CHAPADA,7738,58
Dezembro,SÃO MATHEUS (VG),1790,38
Dezembro,COXIPO DO OURO (CBA),15103,444
Dezembro,BOA ESPERANCA (CBA),4017,22
Dezembro,VILA CANAÃ (VG),41961,1847
Dezembro,BARRA DO GARCA 1,29738,1388
Dezembro,BARRA DO GARCA 2,10253,5350
Dezembro,GENERAL CARNEIRO,7747,1223
Dezembro,NOVA SÃO JOAQUIM,5187,27
Dezembro,RIBEIRAOZINHO,5159,51
Dezembro,TORIXOREU,5215,33
Dezembro,ALTO PARAGUAI,1563,132
Dezembro,ARENAPOLIS,2144,5
Dezembro,DECIOLANDIA,11042,3557
Dezembro,PARQUE LAGO (VG),55031,1742
Dezembro,CHAPADA DO GUIMARAES,6445,81
Dezembro,TRES BARRAS (CBA),43486,2331
Dezembro,NOVA MUTUM,4280,1818
Dezembro,LUCAS DO RIO VERDE,3453,1594
Dezembro,DIAMANTINO(NOVO),738,84
Dezembro,NOVA MARILANDIA,594,1
Dezembro,NOVA MARINGA,285,9
Dezembro,SANTA RITA DO TRIVELATO,1491,21
Dezembro,SANTO AFONSO,643,40
Dezembro,DISTRITO INDUSTRIAL (CBA),30796,9956
Dezembro,AGROVILA PALMEIRAS,3431,5
Dezembro,BARAO MELGAÇO,5572,8
Dezembro,PLANALTO DA SERRA,148,5
Dezembro,PRIMAVERA DO LESTE,2409,1224
Dezembro,SÃO JOSE RIO CLARO,73,7
Dezembro,CAMPO VERDE,2046,402
Dezembro,GAUCHA NORTE,621,5
Dezembro,ACORIZAL,905,17
Dezembro,PARANATINGA,521,233
Dezembro,POXOREO,969,9
Dezembro,SANTO ANTONIO LESTE,1390,6
Dezembro,ALTO ARAGUAIA,3913,205
Dezembro,ALTO GARÇAS,1390,6
Dezembro,ALTO TAQUARI,127,3
Dezembro,ARAGUAINA,490,0
Dezembro,DOM AQUINO,1673,26
Dezembro,GUIRATINGA,4369,2
Dezembro,ITIQUIRA,4599,7
Dezembro,JACIARA,4229,460
Dezembro,JUSCIMEIRA,2417,62
Dezembro,DOM AQUINO(PEDRA PRETA),6439,4
Dezembro,PONTE BRANCA (PEDRA PRETA),2026,0
Dezembro,JANGADA,1509,82
Dezembro,NOBRES,3766,1391
Dezembro,LIVRAMENTO,6126,110
Dezembro,SÃO JOSE DO POVO,6196,7
Dezembro,TESOURO,5444,0
Dezembro,CLAUDIA,3318,6
Dezembro,UNIAO DO SUL,4567,8
Dezembro,IPIRANGA DO NORTE,3036,16
Dezembro,ANA TERRA,476,5
Dezembro,NOVA UBIRATA,2985,40
Dezembro,NOVA BRASILANDIA,71,3
Dezembro,MANSO,3733,1
Dezembro,SANTA CARMEN,1960,21
Dezembro,TAPURAH,1951,136
Dezembro,FELIZ NATAL,1527,15
Dezembro,VERA,3046,6
Dezembro,PEDRA 90 (CBA),27019,842
Dezembro,POCONE,11588,416
Dezembro,ROSARIO OESTE,1695,173
Dezembro,SANTO ANTONIO LEVEGER,15301,205
Dezembro,SINOP SBT,10490,3013
Dezembro,SORRISO SBT,6539,1955
Dezembro,ARAGUAIANA,4512,56
Dezembro,BAUXI,221,6
Dezembro,NORTELANDIA,1953,21
Dezembro,DIAMANTINO(VELHO),1366,109
Dezembro,RANCHAO,1991,8
Dezembro,TREVO DE LIBRA(S.JOSE.R. CLARO),88,14
Dezembro,PRF020476(NOVA MARILANDIA),1283,16
Dezembro,PRF020478(DIAMANTINO),377,3
Dezembro,PRF020472 - SAU 14,202,3
Dezembro,DIAMANTINO (EX-PRF),170,1
Dezembro,POSTO GIL,428,27
Dezembro,PRF020291(OURO BRANCO),3652,4
Dezembro,DOM AQUINO - 020598,267,4
Dezembro,SINOP CLARO,5552,1282
Dezembro,SORRISO 2,7189,2418
Dezembro,BOM JARDIM,1307,0
Dezembro,PRF020195 (JACIARA),1735,119
Dezembro,SERRA BEROABA (RONDONOPOLIS),2675,73
Dezembro,ALTO ARAGUAIA - 020294,110,1
Dezembro,RONDONOPOLIS,15193,2950
Dezembro,SÃO LOURENCO FATIMA(JUSCIMEIRA),2199,13
Dezembro,SANTA ELVIRA (JUSCIMEIRA),1738,19
Dezembro,ITANHANGA,2037,69
Dezembro,GROSLANDIA,50,2
Dezembro,PRF020697 - SINOP,1330,7
Dezembro,PRF020695 - SINOP,322,13
Dezembro,PRF020472 - LUCAS DO RIO VERDE,1269,62
Dezembro,BOA ESPERANCA (MUNICIPIO),2620,22
Dezembro,PRF020694 (SORRISO PEDAGIO),439,20
Dezembro,PRF020693 (UOP SORRISO),199,9
Dezembro,PRF020479 - SAU 12,302,13
Dezembro,BRIANORTE,2486,26
Dezembro,PRF020475 (NOVA MUTUM),225,4
Dezembro,PRF020894 (TABAZUL),4856,26
Dezembro,REP 2 ROTA OESTE (ANHUMAS),2120,24
Dezembro,RONDONOPOLIS 2,10018,2509
