Meses,Zonas,Total calls,Nº Progressed Calls (In)
Dezembro,ARENA PANTANAL(CBA),92789,86497
Dezembro,MORRO DA LUZ (CBA),219054,193189
Dezembro,JARDIM GLORIA (VG),130240,123701
Dezembro,DISTRITO DA GUIA,17948,17519
Dezembro,TJMT (CBA),214434,161066
Dezembro,TREVO CHAPADA,27580,27210
Dezembro,SÃO MATHEUS (VG),50285,633
Dezembro,COXIPO DO OURO (CBA),12281,48131
Dezembro,BOA ESPERANCA (CBA),144668,12088
Dezembro,VILA CANAÃ (VG),89063,137024
Dezembro,BARRA DO GARCA 1,22651,83112
Dezembro,BARRA DO GARCA 2,17102,9252
Dezembro,GENERAL CARNEIRO,12627,13029
Dezembro,NOVA SÃO JOAQUIM,11154,11579
Dezembro,TORIXOREU,12146,10392
Dezembro,ALTO PARAGUAI,5268,11340
Dezembro,ARENAPOLIS,5106,4533
Dezembro,DECIOLANDIA,34400,4573
Dezembro,PARQUE LAGO (VG),185720,23507
Dezembro,CHAPADA DO GUIMARAES,19455,174726
Dezembro,TRES BARRAS (CBA),140277,18789
Dezembro,NOVA MUTUM,13013,131061
Dezembro,LUCAS DO RIO VERDE,11950,6613
Dezembro,DIAMANTINO(NOVO),2873,5836
Dezembro,NOVA MARILANDIA,3289,2384
Dezembro,NOVA MARINGA,570,2870
Dezembro,SANTA RITA DO TRIVELATO,4984,486
Dezembro,SANTO AFONSO,2031,4276
Dezembro,DISTRITO INDUSTRIAL (CBA),101701,1681
Dezembro,AGROVILA PALMEIRAS,1117,72008
Dezembro,BARAO MELGAÇO,23933,1084
Dezembro,PLANALTO DA SERRA,141,23627
Dezembro,PRIMAVERA DO LESTE,8969,122
Dezembro,SÃO JOSE RIO CLARO,3335,4139
Dezembro,CAMPO VERDE,5771,3032
Dezembro,GAUCHA NORTE,5601,3720
Dezembro,ACORIZAL,8555,5213
Dezembro,PARANATINGA,3704,8105
Dezembro,POXOREO,8018,2377
Dezembro,SANTO ANTONIO LESTE,3917,7656
Dezembro,ALTO ARAGUAIA,8163,3622
Dezembro,ALTO GARÇAS,9930,7062
Dezembro,ALTO TAQUARI,7146,9036
Dezembro,ARAGUAINA,1509,6615
Dezembro,DOM AQUINO,4270,1334
Dezembro,GUIRATINGA,17411,3849
Dezembro,ITIQUIRA,15264,16074
Dezembro,JACIARA,17191,14074
Dezembro,JUSCIMEIRA,7046,14338
Dezembro,DOM AQUINO(PEDRA PRETA),19296,6419
Dezembro,PONTE BRANCA (PEDRA PRETA),5581,17823
Dezembro,JANGADA,5812,5111
Dezembro,NOBRES,12357,5343
Dezembro,LIVRAMENTO,22605,6814
Dezembro,SÃO JOSE DO POVO,20363,22206
Dezembro,TESOURO,16427,18840
Dezembro,CLAUDIA,4051,15214
Dezembro,UNIAO DO SUL,11349,3800
Dezembro,IPIRANGA DO NORTE,10171,10634
Dezembro,ANA TERRA,1247,9491
Dezembro,NOVA UBIRATA,10684,1104
Dezembro,NOVA BRASILANDIA,593,10029
Dezembro,MANSO,9179,576
Dezembro,SANTA CARMEN,8277,9040
Dezembro,TAPURAH,8376,7862
Dezembro,FELIZ NATAL,10283,7569
Dezembro,VERA,12386,9677
Dezembro,PEDRA 90 (CBA),82806,11709
Dezembro,POCONE,26480,79322
Dezembro,ROSARIO OESTE,10162,25318
Dezembro,SANTO ANTONIO LEVEGER,53460,9257
Dezembro,SINOP SBT,37643,52169
Dezembro,SORRISO SBT,25895,25308
Dezembro,ARAGUAIANA,10986,19421
Dezembro,PONTAL DO MARAPE,155,10088
Dezembro,BAUXI,831,147
Dezembro,NORTELANDIA,5980,675
Dezembro,DIAMANTINO(VELHO),4288,5350
Dezembro,RANCHAO,5955,3351
Dezembro,TREVO DE LIBRA(S.JOSE.R. CLARO),319,5326
Dezembro,PRF020476(NOVA MARILANDIA),3043,255
Dezembro,PRF020478(DIAMANTINO),1268,2645
Dezembro,PRF020472 - SAU 14,1132,1124
Dezembro,DIAMANTINO (EX-PRF),395,1055
Dezembro,POSTO GIL,916,345
Dezembro,PRF020291(OURO BRANCO),16071,873
Dezembro,DOM AQUINO - 020598,709,14821
Dezembro,SINOP CLARO,14778,648
Dezembro,SORRISO 2,26895,11031
Dezembro,BOM JARDIM,5125,17288
Dezembro,PRF020195 (JACIARA),5852,4891
Dezembro,SERRA BEROABA (RONDONOPOLIS),5643,5241
Dezembro,ALTO ARAGUAIA - 020294,222,5046
Dezembro,RONDONOPOLIS,47409,200
Dezembro,SÃO LOURENCO FATIMA(JUSCIMEIRA),11834,36912
Dezembro,SANTA ELVIRA (JUSCIMEIRA),5900,10905
Dezembro,ITANHANGA,5875,5374
Dezembro,GROSLANDIA,272,5094
Dezembro,PRF020697 - SINOP,1562,229
Dezembro,PRF020695 - SINOP,1553,1403
Dezembro,PRF020472 - LUCAS DO RIO VERDE,3304,1391
Dezembro,BOA ESPERANCA (MUNICIPIO),9646,2679
Dezembro,PRF020694 (SORRISO PEDAGIO),6655,9042
Dezembro,PRF020693 (UOP SORRISO),926,6362
Dezembro,PRF020479 - SAU 12,1018,798
Dezembro,BRIANORTE,3726,885
Dezembro,PRF020475 (NOVA MUTUM),743,3449
Dezembro,PRF020894 (TABAZUL),11866,641
Dezembro,REP 2 ROTA OESTE (ANHUMAS),4351,11069
Dezembro,SANTIAGO NORTE,201,3869
Dezembro,RONDONOPOLIS 2,33043,171
Dezembro,ERB MOVEL,20,20642
