Meses,Zonas,Total de chamadas,Número de chamadas com progresso (feitas)
Setembro,ARENA PANTANAL(CBA),86383,5240
Setembro,MORRO DA LUZ (CBA),181569,19778
Setembro,JARDIM GLORIA (VG),110886,4678
Setembro,DISTRITO DA GUIA,15905,226
Setembro,TJMT (CBA),188146,52474
Setembro,TREVO CHAPADA,27048,232
Setembro,SÃO MATHEUS (VG),64137,2086
Setembro,COXIPO DO OURO (CBA),8443,81
Setembro,BOA ESPERANCA (CBA),108983,5278
Setembro,VILA CANAÃ (VG),96525,5364
Setembro,BARRA DO GARCA 1,20729,11676
Setembro,BARRA DO GARCA 2,19758,3613
Setembro,GENERAL CARNEIRO,11198,172
Setembro,NOVA SÃO JOAQUIM,10330,62
Setembro,RIBEIRAOZINHO,7441,48
Setembro,TORIXOREU,10891,61
Setembro,ALTO PARAGUAI,5885,714
Setembro,ARENAPOLIS,1066,5
Setembro,DECIOLANDIA,8924,3222
Setembro,PARQUE LAGO (VG),129951,6209
Setembro,CHAPADA DO GUIMARAES,23339,521
Setembro,TRES BARRAS (CBA),127311,7838
Setembro,NOVA MUTUM,19736,4686
Setembro,LUCAS DO RIO VERDE,17350,7166
Setembro,DIAMANTINO(NOVO),4304,561
Setembro,NOVA MARILANDIA,6082,20
Setembro,NOVA MARINGA,273,0
Setembro,SANTA RITA DO TRIVELATO,3817,184
Setembro,SANTO AFONSO,5946,55
Setembro,DISTRITO INDUSTRIAL (CBA),112561,26681
Setembro,AGROVILA PALMEIRAS,7627,21
Setembro,BARAO MELGAÇO,18684,26
Setembro,PLANALTO DA SERRA,1399,9
Setembro,PRIMAVERA DO LESTE,19649,5667
Setembro,SÃO JOSE RIO CLARO,3013,6
Setembro,CAMPO VERDE,10294,2957
Setembro,GAUCHA NORTE,3215,45
Setembro,ACORIZAL,8438,318
Setembro,PARANATINGA,3072,813
Setembro,POXOREO,5663,27
Setembro,SANTO ANTONIO LESTE,4726,34
Setembro,ALTO ARAGUAIA,12472,677
Setembro,ALTO GARÇAS,13571,4
Setembro,ALTO TAQUARI,21364,103
Setembro,ARAGUAINA,696,1
Setembro,DOM AQUINO,7430,155
Setembro,GUIRATINGA,15645,15
Setembro,ITIQUIRA ,13362,13
Setembro,JACIARA,15434,1930
Setembro,JUSCIMEIRA,7106,140
Setembro,DOM AQUINO(PEDRA PRETA),20488,611
Setembro,PONTE BRANCA (PEDRA PRETA),5286,2
Setembro,JANGADA,11444,746
Setembro,NOBRES,12642,4636
Setembro,LIVRAMENTO,19093,192
Setembro,SÃO JOSE DO POVO,18376,41
Setembro,TESOURO,16226,22
Setembro,CLAUDIA,12672,2
Setembro,UNIAO DO SUL,12292,92
Setembro,IPIRANGA DO NORTE,8960,196
Setembro,ANA TERRA,744,34
Setembro,NOVA UBIRATA,3124,5
Setembro,NOVA BRASILANDIA,3121,18
Setembro,MANSO,12574,44
Setembro,SANTA CARMEN,8690,10
Setembro,TAPURAH,5411,366
Setembro,FELIZ NATAL,6761,14
Setembro,VERA,15975,28
Setembro,PEDRA 90 (CBA),83577,2826
Setembro,POCONE,31993,1478
Setembro,ROSARIO OESTE,8813,977
Setembro,SANTO ANTONIO LEVEGER,58211,704
Setembro,SINOP SBT,31154,9070
Setembro,SORRISO SBT,24244,5706
Setembro,ARAGUAIANA,10851,182
Setembro,PONTAL DO MARAPE,168,15
Setembro,BAUXI,3388,124
Setembro,NORTELANDIA,7910,274
Setembro,DIAMANTINO(VELHO),5053,729
Setembro,RANCHAO,3769,80
Setembro,TREVO DE LIBRA(S.JOSE.R. CLARO),2608,115
Setembro,PRF020476(NOVA MARILANDIA),2668,17
Setembro,PRF020478(DIAMANTINO),1784,59
Setembro,PRF020472 - SAU 14,1167,20
Setembro,DIAMANTINO (EX-PRF),363,8
Setembro,POSTO GIL,2473,39
Setembro,PRF020291(OURO BRANCO),18070,8
Setembro,JADURE,2662,184
Setembro,DOM AQUINO - 020598,17994,4109
Setembro,SINOP CLARO,22106,4969
Setembro,SORRISO 2,4741,27
Setembro,BOM JARDIM,5277,380
Setembro,PRF020195 (JACIARA),10089,482
Setembro,SERRA BEROABA (RONDONOPOLIS),1005,13
Setembro,ALTO ARAGUAIA - 020294,50625,12095
Setembro,RONDONOPOLIS ,13669,43
Setembro,SÃO LOURENCO FATIMA(JUSCIMEIRA),9248,91
Setembro,SANTA ELVIRA (JUSCIMEIRA),5395,685
Setembro,ITANHANGA,252,11
Setembro,GROSLANDIA,865,24
Setembro,PRF020697 - SINOP,1541,118
Setembro,PRF020695 - SINOP,5200,467
Setembro,PRF020472 - LUCAS DO RIO VERDE,7322,74
Setembro,BOA ESPERANCA (MUNICIPIO) ,6589,476
Setembro,PRF020694 (SORRISO PEDAGIO),967,25
Setembro,PRF020693 (UOP SORRISO),1022,49
Setembro,PRF020479 - SAU 12,14,1
Setembro,BRIANORTE,1428,96
Setembro,PRF020475 (NOVA MUTUM),11090,118
Setembro,PRF020894 (TABAZUL),11984,432
Setembro,REP 2 ROTA OESTE (ANHUMAS),36421,14293
Setembro,SANTIAGO NORTE,3156,13
Setembro,RONDONOPOLIS 2
Setembro,ERB MOVEL
