Groups,GSSI,Total Number of Calls
65301,CRBM I,21051
65501,SISPEN METROPOL,18778
65014,3 BPM,17906
65013,1 BPM,16556
65015,9 BPM,15976
65051,5 BPM,13945
65037,4BPM,12903
65016,10 BPM,12331
65089,11 BPM,9045
65508,PENINT AHMENON,8985
65104,5 CR,8941
65121,6 BPM CACERES,8048
65201,SAMU ROO,7632
65090,12 BPM,7332
65530,PENINT ANA MARIA COUTO,5426
65038,25 BPM,5415
65329,4 BBM,5170
65550,CADEIA PUBLICA CACERES,4705
65192,14 BPM,4121
65135,19 BPM TANGARA SERRA,4093
65332,13 CIBM,3502
65337,1 CIBM,3406
65330,5 CIBM,3312
65088,TCE MT,3276
65231,26 BPM,3071
65321,6 BBM,2560
65322,6 CIBM,2430
65331,10 CIBM,2265
65561,CENTRO ATEN SOC MASC ROND,2191
65502,OPERAÇÃO SISPEN,2096
65238,9 CIPN JACIARA,2088
65063,7 CIPM JACIARA,2063
65713,PJCMT,2044
65216,16 BPM,1920
65324,11 CIBM,1912
65164,9 CR,1911
65039,7 BPM,1717
65554,CASE MASC CBA,1702
65545,CADEIA PUBLICA LUCAS RIO V,1653
65233,13 BPM,1643
65404,SOE,1609
65511,SISPEN BARRA GARÇAS,1595
65328,CRM III,1396
65901,VIP 01,1309
65527,SISPEN SORRISO,1214
10341,DEL 07 MT,1123
65176,23 BPM,1104
