CODIGO,GSSI,Número Total de Chamadas
65943,CS BRASIL,54
65940,INTRODUÇÃO TCE,274
65936,INTEGRAÇÃO BM/PJC,118
65935,INTEGRAÇÃO BM/PJC,570
65934,INTEGRAÇÃO PM/BM,398
65932,INDEA MT,158
65909,ADM CASA MILITAR,6
65907,INSTRUÇÃO,1
65906,VIP 06,48
65905,VIP 05,1
65904,VIP 04,3
65903,VIP 03,34
65902,VIP 02,143
65901,VIP 01,11647
65900,CASA MILITAR GERAL,55
65883,DEFAZ/CIRA,1
65881,3695
65878,688
65864,NI NOVA MUTUM,50
65863,DP TAPURAH,166
65862,DP SÃO JOSE RIO CLARO,166
65861,DP DIAMANTINO,6
65860,DP INTELIGENCIA,1339
65852,DP ST TERESINHA,3
65851,DP STA CRUZ XINGU,3
65846,DP CONFRESA,933
65844,DP VILA RICA,16
65843,DPR VILA RICA,130
65841,DP BRASNORTE,1
65839,DP CAMPO N.PARECIS,31
65837,DPJC BARRA DO BUGRES,11
65836,DPJC CISC TANGARA DA SERRA,197
65835,DPJCR TANGARA SERRA,44
65834,NI SINOP,157
65833,DP CLAUDIA,6
65832,DP FELIZ NATAL,6
65830,DP SORRISO,1021
65829,DP VERA,28
65828,DP SINOP,574
65827,DPR SINOP,321
65825,DP STO LESTE,41
65824,DP POXOREU,12
65823,DP PARANATINGA,1
65822,DP GAUCHA NORTE,4
65821,DP CAMPO VERDE,17
65820,DP PRIMAVERA LESTE,14
65819,DPR PRIMAVERA LESTE,522
65815,DPJC VILA BELA,180
65813,DPJC COMODORO,10
65812,DPJC CISC PONTES LACERDA,8
65811,DPJCR PONTES LACERDA,11
65810,CIOSP TECNICA,2003
65805,INSTRUÇÃO CIOSP,2
65803,OPERAÇÃO CIOPAER,69
65802,CIOSP CACERES,1
65801,CIOSP RONDONOPOLIS,15
65800,CIOSP METROPOLITANO,121
65798,DP LUCAS RIO VERDE,417
65797,DP ARENAPOLIS,10
65796,DP NOVA MUTUM,32
65795,DPR NOVA MUTUM,1322
65793,DP TABAPORA,12
65791,DP JURUENA,17
65788,DP COLNIZA,11
65787,DP ARIPUANA,6
65786,DP JUINA,111
65785,DPR JUINA,75
65782,DP MARCELANDIA,40
65781,DP MARUPA,87
65780,DP PEIXOTO AZEVEDO,1
65778,DP GUARANTA,69
65777,DPR GUARANTA,269
65772,DPJC MIRASSOL OESTE,34
65770,DPJC CISC CACERES,77
65769,DPR CACERES,8
65766,DP TORIXOREO,9
65765,DP ARAGUAIANA,1
65763,DP BARRA GARÇAS,6
65762,DPR BARRA GARÇAS,305
65756,DP COLIDER,45
65754,DP APIACAS,27
65752,DPR ALTA FLORESTA,201
65749,DP QUERENCIA,17
65748,DP CANARANA,9
65747,DP COCALINHO,36
65746,DP AGUA BOA,16
65745,DP CAMPINAPOLIS,2
65744,DP XAVANTINA,264
65743,DPR AGUA BOA,121
65742,DEFRON CACERES,10
65739,DRE,144
65738,GOE,1484
65737,GCCO,362
65731,1º DP CEMTRP VG,7
65730,DPR VARZEA GRANDE,29
65728,DP STO ANT LEVERGE,29
65727,DP CHAPADA GUIMA,2
65725,DEDDICA CBA,2
65724,DHPP CBA,191
65723,DERV VA CBA,12
65721,DERF CBA,8
65720,1° DP CENTRO CBA,6
65719,DPR CUIABA,214
65718,TREINAMENTO 2 PJC,19
65717,TREINAMENTO 1 PJC,2
65716,OPERACAO 3 PJC,67
65715,OPERACAO 2 PJC,172
65714,OPERACAO 1 PJC,240
65713,PJCMT,18878
65710,DP ALTO GARÇAS,149
65709,DP ALTO ARAGUIA,41
65707,DP DOM AQUINO,1
65706,DP JACIARA,59
65702,NI RONDONOPOLIS,5
65701,1 DP ROO,68
65700,DPR RONDONOPOLIS,257
65634,GSI MPE,1094
65633,TREINAMENTO CSI,2
65632,COORD OPERAÇÃO,1
65631,CSI DO MPMT,9
65628,INTELIGENCIA GAECO,13
65627,TREINAMENTO,1
65626,OPERAÇÃO,12
65625,GAECO INTERIOR,37
65624,GAECO CAPITAL,391
65620,INTERAÇÃO PRF,103
65610,INTEGRAÇÃO PJC/POLITEC,60
65606,INTEGRAÇÃO SESP3,1
65604,INTEGRAÇÃO GEFRON,73
65601,INTELIGENCIA SESP,3
65600,INTEGRAÇÃO SESP 1,530
65574,BASE MONITORA CASE FEM,13
65573,BASE MONITORA CASE MASC,4
65572,BASE MONITORAMENTO TANG,8
65571,BASE MONITORAMENTO ROND,22
65570,BASE MONITORAMENTO BAR.G,12
65568,BASE MONITORAMENTO SINOP,8
65567,BASE MONITORAMENTO CACER,15
65566,CENTRAL MONIT SOC EDU,34
65565,GALP 2,85
65564,SEC ADJUNTA DE JUSTICA,352
65563,ESCOLTA SOCIO EDUCATIVO,40
65562,CENTRO ATEN SOC MASC TANG,170
65561,CENTRO ATEN SOC MASC ROND,23665
65560,CENTRO ATEND SOC MASC BARRA G,1912
65559,CENTRO ATEND SOC MASC LRV,226
65558,CENTRO ATEND SOC MASC SINOP,2170
65557,CENTRO ATEND SOC MASC CACERES,356
65556,GALP 1,284
65555,CASE FEMININO CBA,632
65554,CASE MASCULINO CBA,16937
65553,TREINAMENTO SOCIOEDU,49
65552,OPERAÇÃO SOCIOEDU,177
65551,SOCIO EDU METROPOLITANO,192
65550,CADEIA PUBLICA CACERES,47744
65549,CADEIA PUBLICA DIAMANTINO,98
65548,CADEIA PUBLICA NORTELANDIA,1634
65547,CADEIA PUBLICA ARENAPOLIS,3740
65546,CADEIA PUBLICA BARRA BUG,24
65545,CADEIA PUBLICA LUCAS RIO V,11353
65544,CADEIA PUBLICA PEIXOTO AZEV,8837
65543,CADEIA PUBLICA FEM COLIDER,93
65542,CADEIA PUBLICA PRIMAVERA LESTE,1
65541,CADEIA PUBLICA PARANATINGA,3
65540,CADEIA PUBLICA NOVA XAVANT,167
65539,CADEIA PUBLICA SÃO FELIX A,20
65538,CADEIA PUBLICA PORTO ALEG N,90
65537,CADEIA PUBLICA JACIARA,6
65535,CADEIA FEM RONDONOPOLIS,3
