Groups,GSSI,Total Number of Calls
65501,SISPEN METROP,17099
65014,3 BPM,15742
65015,9BPM,15650
65013,1 BPM,15507
65051,5 BPM,15437
65301,CRBM I,15054
65037,4 BPM,14862
65016,10 BPM,12116
65104,5 CR,10374
65089,11 BPM,9653
65508,PENINTENCIARIA AHMENON,8663
65121,6 BPM CACERES,8662
65201,SAMU ROO,7617
65135,19 BPM TANGARA SERRA,5548
65530,PENINT ANA MARIA COUTO,5429
65090,12 BPM,5027
65038,25 BPM,4510
65329,4 BBM,4301
65550,CADEIA PUBLICA CACERES,3877
65192,14 BPM,3436
65231,26 BPM,3408
65088,TCE MT,3233
65332,13 CIBM,3136
65502,OPERAÇÃO SISPEN,3056
65039,7 BPM,2851
65063,7 CIPM JACIARA,2625
65337,1 CIBM,2609
65561,CENTRO ATEN SOC MASC ROND,2508
65322,6 CIBM,2455
65216,16 BPM,2430
65330,5 CIBM,2089
65545,CADEIA PUBLICA LUCAS RIO V,1966
65554,CASE MASC CBA,1737
65713,PJCMT,1613
65544,CADEIA PUBLICA PEIXOTO AZEV,1613
65238,9 CIPN JACIARA,1460
65178,3 COM CONFRESA,1455
65324,11 CIBM,1400
65199,8 CIPM CAMPO VERDE,1382
65328,CRM III,1329
65321,6 BBM,1321
65222,5 CIPM,1304
65233,13 BPM,1243
65406,INTELIGENCIA SOCIOEDU,1222
65136,12 CIPM BARRA BUGRES,1176
65511,SISPEN BARRA GARÇAS,1162
65331,10 CIBM,1146
65139,6 CIPM SAPEZAL,1096
65901,VIP 01,1088
65202,12 CR,1080
65138,16 COM CAMPO NOVO P,1062
