Groups,GSSI,Número Total de Chamadas
65014,3 BPM,24210
65051,5 BPM,17255
65013,1 BPM,15415
65501,SISPEN METROPOL,15379
65037,4 BPM,14770
65301,CRBM I,14558
65015,9 BPM,13929
65016,10 BPM,13509
65121,6 BPM CACERES,11836
65104,5 CR,10910
65508,PENINTENCIARIA AHMENON,9952
65089,11 BPM,9943
65201,SAMU ROO,9820
65090,12 BPM,8259
65135,19 BPM TANGARA SERRA,5508
65530,PENINT ANA MARIA COUTO,5120
65038,25 BPM,4784
65550,CADEIA PUBLICA CACERES,4324
65231,26 BPM,4181
65164,9 CR,4041
65088,TCE MT,3668
65192,14 BPM,3457
65329,4 BBM,3408
65216,16 BPM,3169
65337,1 CIBM,3053
65138,16 COM CAMPO NOVO P,3033
65063,7 CIPM JACIARA,2533
65561,CENTRO ATEN SOC MASC ROND,2492
65330,5 CIBM,2425
65202,12 CR,2342
65039,7 BPM,2125
65322,6 CIBM,2124
65238,9 CIPN JACIARA,2101
65233,13 BPM,1977
65554,CASE MASC CBA,1838
65139,6 CIPM SAPEZAL,1711
65713,PJCMT,1554
65041,6 CIPM POCONE,1525
65328,CRM III,1514
65332,13 CIBM,1455
65252,15 CR,1447
65136,12 CIPM BARRA BUGRES,1420
65545,CADEIA PUBLICA LUCAS RIO V,1403
65511,SISPEN BARRA GARÇAS,1362
65321,6 BBM,1336
65324,11 CIBM,1330
65404,SOE,1308
65222,5 CIPM,1256
65178,3 COM CONFRESA,1235
65194,3 COM PARANATINGA,1137
65331,10 CIBM,1124
65901,VIP 01,1120
65077,BPMTUR,1044
