CODIGO,GSSI,Número Total de Chamadas
65013,1 BPM,20741
65014,3 BPM,19526
65051,5 BPM,18179
65015,9 BPM,17767
65501,SISPEN METROPOL,16700
65037,4 BPM,16669
65121,6 BPM CACERES,14065
65016,10 BPM,12361
65089,11 BPM,12290
65301,CRBM I,12196
65104,5 CR,11950
65201,SAMU ROO,10642
65090,12 BPM,8696
65038,25 BPM,7032
65550,CADEIA PUBLICA CACERES,6269
65135,19BPM TANGARA SERRA,5875
65164,9 CR,5823
65088,TCE MT,4880
65231,26 BPM,4823
65192,14 BPM,4789
65530,PENINT ANA MARIA COUTO,4715
65329,CRM III,4244
65554,CASE MASCULINO CBA,4073
65216,16 BPM,3505
65343,2 CIBM CACERES,3438
65238,9 CIPN JACIARA,2904
65233,13 BPM,2630
65713,PJCMT,2596
65337,1 CIBM,2593
65533,CENTRO DE RESSOC VG,2544
65561,CENTRO ATEND SOC MASC ROND,2471
65330,5 CIBM,2462
65138,16 CPM CAMPO NOVO P,2169
65331,10 CIBM,1992
65322,6 CIBM,1968
65063,7 CIPM JACIARA,1961
65332,13 CIBM,1862
65039,7 BPM,1777
65139,6 CIPM SAPEZAL,1739
65146,20 BPM,1609
65545,CADEIA PUBLICA LUCAS RIO V,1569
65404,SOE,1428
65222,5 CIPM,1407
65901,VIP 01,1389
65324,11 CIBM,1320
65077,BPMTUR,1256
65176,23 BPM,1228
65511,SISPEN BARRA GARÇAS,1172
65178,3 COM CONFREZA,1162
65199,8 CIPM CAMPO VERDE,1128
65059,15 BPM,1105
65321,3 BBM,1100
