Meses,Zonas,Total de chamadas,Número de chamadas com progresso (feitas)
Abril,TJMT (CBA),214421,5450
Abril,MORRO DA LUZ (CBA),170043,21158
Abril,TRES BARRAS (CBA),144158,4637
Abril,BOA ESPERANCA (CBA),139916,164
Abril,JARDIM GLORIA (VG),135061,51234
Abril,PARQUE LAGO (VG),133664,173
Abril,ARENA PANTANAL(CBA),101144,5029
Abril,VILA CANAÃ (VG),101672,54
Abril,PEDRA 90 (CBA),87495,6497
Abril,DISTRITO INDUSTRIAL (CBA),100391,7053
Abril,SÃO MATHEUS (VG),59792,12435
Abril,SANTO ANTONIO LEVEGER,39553,3174
Abril,POCONE,37818,237
Abril,SORRISO SBT,38227,122
Abril,RONDONOPOLIS,52025,139
Abril,TREVO CHAPADA,31222,183
Abril,LIVRAMENTO,27560,303
Abril,SINOP SBT,38678,783
Abril,RONDONOPOLIS 2,34258,39
Abril,SORRISO 2,25814,7066
Abril,SÃO JOSE DO POVO,20706,306
Abril,DOM AQUINO(PEDRA PRETA),20785,9583
Abril,PRF020291(OURO BRANCO),19981,5596
Abril,TESOURO,19728,4125
Abril,BARAO MELGAÇO,18065,444
Abril,ALTO GARÇAS,17977,47
Abril,GUIRATINGA,17487,0
Abril,CHAPADA DO GUIMARAES,17146,62
Abril,UNIAO DO SUL,17021,5
Abril,DISTRITO DA GUIA,16871,26501
Abril,SINOP CLARO,20452,27
Abril,FELIZ NATAL,16398,28
Abril,BARRA DO GARCA 2,19532,5
Abril,ITIQUIRA,16492,5749
Abril,ALTO TAQUARI,15787,46
Abril,JACIARA,16612,2591
Abril,REP 2 ROTA OESTE (ANHUMAS),15350,26
Abril,VERA,14224,71
Abril,NOVA MUTUM,19370,790
Abril,GENERAL CARNEIRO,13735,43
Abril,SANTA CARMEN,13527,91
Abril,TORIXOREU,13244,587
Abril,NOVA SÃO JOAQUIM,12966,18
Abril,RIBEIRAOZINHO,12774,29
Abril,ARAGUAIANA,11675,4
Abril,ALTO ARAGUAIA,11642,44
Abril,BARRA DO GARCA 1,22856,33
Abril,PRF020894 (TABAZUL),9956,31
Abril,CLAUDIA,9960,1431
Abril,SERRA BEROABA (RONDONOPOLIS),11229,159
Abril,COXIPO DO OURO (CBA),9025,100
Abril,NOVA UBIRATA,8807,7
Abril,ROSARIO OESTE,9273,199
Abril,NOBRES,13758,5395
Abril,IPIRANGA DO NORTE,8103,266
Abril,BOA ESPERANCA (MUNICIPIO),7944,27
Abril,AGROVILA PALMEIRAS,7293,0
Abril,ACORIZAL,7260,152
Abril,JUSCIMEIRA,7006,40
Abril,LUCAS DO RIO VERDE,10887,150
Abril,PRF020195 (JACIARA),6808,3
Abril,PRIMAVERA DO LESTE,11677,186
Abril,DECIOLANDIA,5871,10
Abril,SANTO ANTONIO LESTE,5828,14
Abril,ITANHANGA,5704,16
Abril,NORTELANDIA,5637,121
Abril,ARENAPOLIS,6145,4
Abril,POXOREO,5352,23
Abril,CAMPO VERDE,7464,3216
Abril,SANTA RITA DO TRIVELATO,5057,1186
Abril,SANTA ELVIRA (JUSCIMEIRA),4876,652
Abril,PRF020694 (SORRISO PEDAGIO),4617,753
Abril,SÃO JOSE RIO CLARO,4629,12269
Abril,DIAMANTINO(VELHO),5187,4561
Abril,NOVA MARILANDIA,4029,323
Abril,RANCHAO,4011,0
Abril,PRF020472 - LUCAS DO RIO VERDE,3855,20
Abril,SANTO AFONSO,3512,87
Abril,TAPURAH,3624,984
Abril,ALTO PARAGUAI,3537,11
Abril,DIAMANTINO(NOVO),3615,14
Abril,SÃO LOURENCO FATIMA(JUSCIMEIRA),3187,10
Abril,BOM JARDIM,2615,25
Abril,PONTE BRANCA (PEDRA PRETA),2230,21
Abril,JANGADA,2406,1
Abril,MANSO,2185,84
Abril,PARANATINGA,2618,20
Abril,PRF020693 (UOP SORRISO),1539,10
Abril,PRF020472 - SAU 14,1486,155
Abril,GAUCHA NORTE,1434,3821
Abril,POSTO GIL,1388,3664
Abril,SANTIAGO NORTE,1313,21
Abril,ARAGUAINA,1269,305
Abril,PRF020479 - SAU 12,1123,1678
Abril,DOM AQUINO,1175,12
Abril,PRF020695 - SINOP,1140,17749
Abril,DOM AQUINO - 020598,1174,24
Abril,ANA TERRA,1005,54
Abril,ALTO ARAGUAIA - 020294,1004,36
Abril,PRF020478(DIAMANTINO),920,18
Abril,PRF020475 (NOVA MUTUM),891,56
Abril,NOVA MARINGA,710,35
Abril,BAUXI,685,420
Abril,PRF020476(NOVA MARILANDIA),669,52
Abril,PRF020697 - SINOP,692,65
Abril,GROSLANDIA,431,76
Abril,PLANALTO DA SERRA,340,15
Abril,DIAMANTINO (EX-PRF),329,0
Abril,NOVA BRASILANDIA,332,64
Abril,JADURE,242,199
Abril,TREVO DE LIBRA(S.JOSE.R. CLARO),177,763
Abril,BRIANORTE,75,10
Abril,ERB MOVEL,108,11627
Abril,PONTAL DO MARAPE,36,0
