Meses,Zonas,Total Chamadas,Numero de Chamadas com Progresso (feitas)
Agosto,TJMT(CBA),172502,50347
Agosto,DISTRITO INDUSTRIARIO(CBA),103280,27404
Agosto,MORRO DA LUZ(CBA),138927,17920
Agosto,RONDONOPOLIS,50089,15084
Agosto,SINOP SBT,39475,10754
Agosto,BARRA DO GARÇA 1,17658,9756
Agosto,RONDONOPOLIS 2,34110,8832
Agosto,SÃO MATHEUS(VG),67846,7562
Agosto,TRES BARRAS(CBA),110903,7477
Agosto,LUCAS DO RIO VERDE,16113,6765
Agosto,SORRISO SBT,33566,6488
Agosto,VILA CANAÃ(CBA),93299,6592
Agosto,PARQUE LAGO(CBA),121699,6575
Agosto,BOA ESPERANCA(CBA),99580,6230
Agosto,PRIMAVERA DO LESTE,13558,5874
Agosto,ARENA PANTANAL(CBA),90189,5891
Agosto,NOVA MUTUM,18756,5480
Agosto,NOBRES,14112,4983
Agosto,JARDIM GLORIA(VG),109617,4535
Agosto,SORRISO 2,28594,4217
Agosto,SINOP CLARO,18627,4244
Agosto,BARRA DO GARÇA 2,13817,3298
Agosto,CAMPO VERDE,8870,2767
Agosto,PEDRA 90(CBA),76830,2688
Agosto,JACIARA,12528,1594
Agosto,SERRA BEROABA(RONDONOP),16976,1432
Agosto,POCONE,35545,1277
Agosto,REP 2 ROTA OESTE (ANHUMAS),16170,1004
Agosto,DIAMANTINO(VELHO),5142,941
Agosto,PARANATINGA,3792,798
Agosto,CHAPADA GUIMARAES,24676,832
Agosto,DIAMANTINO(NOVO),4397,655
Agosto,ROSARIO OESTE,15771,676
Agosto,SANTO ANTONIO DO LEVEGER,48488,693
Agosto,ITANHANGA,7103,609
Agosto,ALTO ARAGUAIA,9375,612
Agosto,ARENAPOLIS,6834,532
Agosto,PRF020195 - JACIARA,6777,418
Agosto,PRF020472 - LUCAS RIO VERDE,4623,398
Agosto,JANGADA,12103,330
Agosto,TREVO CHAPADA,26720,316
Agosto,TAPURAH,6645,268
Agosto,ARAGUAIANA,8498,235
Agosto,LIVRAMENTO,19669,251
Agosto,DOM AQUINO(PEDRA PRETA),17734,129
Agosto,TREVO DE LIBRA,1960,215
Agosto,PRF020694 - SORRISO PEDAG,5048,180
Agosto,ACORIZAL,9693,186
Agosto,DISTRITO GUIA,18661,192
Agosto,PRF020695 - SINOP,1555,182
Agosto,BOA ESPERANCA(MUNICIPIO),10176,167
Agosto,ALTO PARAGUAI,1664,167
Agosto,SANTA RITA DO TRIVELATO,4404,154
Agosto,NOVA MARILANDIA,7149,161
Agosto,GENERAL CARNEIRO,8242,147
Agosto,DOM AQUINO,4660,144
Agosto,NOVO SÃO JOAQUIM,9195,136
Agosto,POXOREO,5903,118
Agosto,PRF020693 - UOP SORRISO,1881,110
Agosto,GAUCHA DO NORTE,1233,110
Agosto,ALTO TAQUARI,4927,104
Agosto,ERB MOVEL,845,82
Agosto,PRF020475 NOVA MUTUM,1123,89
Agosto,COXIPO DO OURO(CBA),11991,96
Agosto,SÃO JOSE DO RIO CLARO,3423,92
Agosto,PRF020894 - TABAZUL,7403,78
Agosto,NOVA MARINGA,682,79
Agosto,PRF020472 - SAU 14(PIUVA),1327,81
Agosto,DOM AQUINO - 020598,1002,80
Agosto,RANCHAO,6366,74
Agosto,NORTELANDIA,7493,60
Agosto,SANTO ANTONIO DO LESTE,5716,64
Agosto,JUSCIMEIRA,2400,61
Agosto,RIBEIRÃOZINHO,8436,59
Agosto,IPIRANGA DO NORTE,8877,57
Agosto,PRF020697 - SINOP,1389,58
Agosto,BAUXI,4446,49
Agosto,AGROVILA PALMEIRAS,7683,49
Agosto,SANTO AFONSO,7748,49
Agosto,SANTA ELVIRA( JUSCIMEIRA),5827,51
Agosto,TORIXOREU,9107,50
Agosto,ANA TERRA,1847,46
Agosto,NOVA UBIRATA,7458,36
Agosto,VERA,25897,40
Agosto,SANTA CARMEN,10684,40
Agosto,SÃO JOSE DO POVO,16306,36
Agosto,PLANALTO DA SERRA,1237,34
Agosto,GUIRATINGA,13655,36
Agosto,POSTO GIL,1677,24
Agosto,SÃO LOURENCO DE F(JUSCIM),8777,27
Agosto,PRF020291(OURO BRANCO),13956,29
Agosto,BOM JARDIM,3544,18
Agosto,PRF020478(DIAMANTINO),1092,23
Agosto,DIAMANTINO(EX-PRF),410,20
Agosto,GROSLANDIA,589,20
Agosto,BARAO DE MELGAÇO,17808,19
Agosto,NOVA BRASILANDIA,5366,16
Agosto,FELIZ NATAL,9915,14
Agosto,PRF020476(NOVA MARILAND),2277,14
Agosto,ITIQUIRA,10788,8
Agosto,ALTO GARCAS,15368,8
Agosto,PONTAL DO MARAPE,333,9
Agosto,MANSO,6473,7
Agosto,PRF020479 - SAU 12,717,6
Agosto,ALTO ARAGUAIA - 020294,786,5
Agosto,CLAUDIA,8700,3
Agosto,SANTIAGO DO NORTE,1207,3
Agosto,DACIOLANDIA,7649,2
Agosto,UNIAO DO SUL,14787,2
Agosto,JARUDORE,106,2
Agosto,PONTE BRANCA,8203,1
Agosto,ARAGUAINA,854,0
Agosto,TESOURO,15014,0
Agosto,BRIANORTE,66,0
