Meses,Zonas,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Fevereiro,ARENA PANTANAL(CBA),17906,0
Fevereiro,MORRO DA LUZ (CBA),170319,24381
Fevereiro,JARDIM GLORIA (VG),134204,6003
Fevereiro,DISTRITO DA GUIA,18065,86
Fevereiro,TJMT (CBA),171298,48338
Fevereiro,TREVO CHAPADA,32464,272
Fevereiro,SÃO MATHEUS (VG),66605,2197
Fevereiro,COXIPO DO OURO (CBA),16885,99
Fevereiro,BOA ESPERANCA (CBA),109539,5106
Fevereiro,VILA CANAÃ (VG),106245,7108
Fevereiro,BARRA DO GARCA 1,17652,9752
Fevereiro,BARRA DO GARCA 2,13673,3151
Fevereiro,GENERAL CARNEIRO,10430,252
Fevereiro,NOVA SÃO JOAQUIM,9578,138
Fevereiro,RIBEIRAOZINHO,8632,67
Fevereiro,TORIXOREU,9411,60
Fevereiro,ALTO PARAGUAI,2804,369
Fevereiro,ARENAPOLIS,6088,33
Fevereiro,DECIOLANDIA,6450,30
Fevereiro,PRF020193 - UFMT ROO,29905,12687
Fevereiro,PARQUE LAGO (VG),116332,8146
Fevereiro,CHAPADA DO GUIMARAES,39129,947
Fevereiro,TRES BARRAS (CBA),126682,5960
Fevereiro,NOVA MUTUM,12881,6208
Fevereiro,LUCAS DO RIO VERDE,9874,3562
Fevereiro,DIAMANTINO(NOVO),2263,234
Fevereiro,NOVA MARILANDIA,4384,15
Fevereiro,NOVA MARINGA,784,9
Fevereiro,SANTA RITA DO TRIVELATO,7962,108
Fevereiro,SANTO AFONSO,7023,13
Fevereiro,DISTRITO INDUSTRIAL (CBA),109329,20114
Fevereiro,AGROVILA PALMEIRAS,7991,25
Fevereiro,BARAO MELGAÇO,18938,43
Fevereiro,PLANALTO DA SERRA,2311,29
Fevereiro,PRIMAVERA DO LESTE,10043,4742
Fevereiro,SÃO JOSE RIO CLARO,10218,250
Fevereiro,CAMPO VERDE,11367,2521
Fevereiro,GAUCHA NORTE,2885,63
Fevereiro,ACORIZAL,10225,225
Fevereiro,PARANATINGA,2621,999
Fevereiro,POXOREO,18895,153
Fevereiro,SANTO ANTONIO LESTE,5552,22
Fevereiro,ALTO ARAGUAIA,13457,1146
Fevereiro,ALTO GARÇAS,16462,23
Fevereiro,ALTO TAQUARI,15214,52
Fevereiro,ARAGUAINA,2514,6
Fevereiro,DOM AQUINO,3970,124
Fevereiro,GUIRATINGA,18021,24
Fevereiro,ITIQUIRA,18442,30
Fevereiro,JACIARA,15386,1479
Fevereiro,JUSCIMEIRA,8741,121
Fevereiro,DOM AQUINO(PEDRA PRETA),19306,210
Fevereiro,PONTE BRANCA (PEDRA PRETA),10346,2
Fevereiro,JANGADA,7710,268
Fevereiro,NOBRES,12448,4696
Fevereiro,LIVRAMENTO,28083,355
Fevereiro,SÃO JOSE DO POVO,18832,11
Fevereiro,TESOURO,16555,10
Fevereiro,CLAUDIA,12627,37
Fevereiro,UNIAO DO SUL,15223,12
Fevereiro,IPIRANGA DO NORTE,8305,69
Fevereiro,ANA TERRA,1868,1
Fevereiro,NOVA UBIRATA,11778,60
Fevereiro,NOVA BRASILANDIA,7872,31
Fevereiro,MANSO,1418,3
Fevereiro,SANTA CARMEN,11860,31
Fevereiro,TAPURAH,3784,35
Fevereiro,FELIZ NATAL,18306,16
Fevereiro,VERA,11145,7
Fevereiro,PEDRA 90 (CBA),85486,3159
Fevereiro,POCONE,31329,1350
Fevereiro,ROSARIO OESTE,10402,648
Fevereiro,SANTO ANTONIO LEVEGER,52857,1041
Fevereiro,SINOP SBT,32528,12173
Fevereiro,SORRISO SBT,36747,4588
Fevereiro,ARAGUAIANA,9604,209
Fevereiro,PONTAL DO MARAPE,655,20
Fevereiro,BAUXI,8323,557
Fevereiro,NORTELANDIA,4305,548
Fevereiro,DIAMANTINO(VELHO),4291,110
Fevereiro,RANCHAO,369,27
Fevereiro,TREVO DE LIBRA(S.JOSE.R. CLARO),441,9
Fevereiro,PRF020476(NOVA MARILANDIA),312,23
Fevereiro,PRF020478(DIAMANTINO),1339,48
Fevereiro,PRF020472 - SAU 14,598,0
Fevereiro,DIAMANTINO (EX-PRF),1466,41
Fevereiro,POSTO GIL,18660,37
Fevereiro,PRF020291(OURO BRANCO),229,0
Fevereiro,JADURE,1443,51
Fevereiro,DOM AQUINO - 020598,19597,3542
Fevereiro,SINOP CLARO,25242,3634
Fevereiro,SORRISO 2,5761,23
