Meses,Zonas,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Janeiro,ARENA PANTANAL(CBA),152011,7711
Janeiro,MORRO DA LUZ (CBA),172713,20962
Janeiro,JARDIM GLORIA (VG),133850,5647
Janeiro,DISTRITO DA GUIA,11365,140
Janeiro,TJMT (CBA),190509,49878
Janeiro,TREVO CHAPADA,29640,92
Janeiro,SÃO MATHEUS (VG),64026,2390
Janeiro,COXIPO DO OURO (CBA),5214,52
Janeiro,BOA ESPERANCA (CBA),115132,5138
Janeiro,VILA CANAÃ (VG),115608,6533
Janeiro,BARRA DO GARCA 1,17712,10893
Janeiro,BARRA DO GARCA 2,18838,2801
Janeiro,GENERAL CARNEIRO,10981,200
Janeiro,NOVA SÃO JOAQUIM,10313,19
Janeiro,RIBEIRAOZINHO,9982,41
Janeiro,TORIXOREU,10421,113
Janeiro,ALTO PARAGUAI,2164,170
Janeiro,ARENAPOLIS,5064,126
Janeiro,DECIOLANDIA,6019,13
Janeiro,PARQUE LAGO (VG),750,118
Janeiro,CHAPADA DO GUIMARAES,124159,7564
Janeiro,TRES BARRAS (CBA),27662,419
Janeiro,NOVA MUTUM,130913,5967
Janeiro,LUCAS DO RIO VERDE,15477,5698
Janeiro,DIAMANTINO(NOVO),11892,2972
Janeiro,NOVA MARILANDIA,2201,261
Janeiro,NOVA MARINGA,6316,45
Janeiro,SANTA RITA DO TRIVELATO,1775,8
Janeiro,SANTO AFONSO,5063,65
Janeiro,DISTRITO INDUSTRIAL (CBA),6216,33
Janeiro,AGROVILA PALMEIRAS,109047,22925
Janeiro,BARAO MELGAÇO,15971,66
Janeiro,PLANALTO DA SERRA,20156,49
Janeiro,PRIMAVERA DO LESTE,1275,3
Janeiro,SÃO JOSE RIO CLARO,9533,4549
Janeiro,CAMPO VERDE,6332,100
Janeiro,GAUCHA NORTE,7229,1964
Janeiro,ACORIZAL,4392,33
Janeiro,PARANATINGA,5764,121
Janeiro,POXOREO,2520,701
Janeiro,SANTO ANTONIO LESTE,6640,57
Janeiro,ALTO ARAGUAIA,5053,81
Janeiro,ALTO GARÇAS,13577,1069
Janeiro,ALTO TAQUARI,17957,57
Janeiro,ARAGUAINA,10681,83
Janeiro,DOM AQUINO,11781,4
Janeiro,GUIRATINGA,3728,69
Janeiro,ITIQUIRA,16873,9
Janeiro,JACIARA,17454,35
Janeiro,JUSCIMEIRA,13297,1226
Janeiro,DOM AQUINO(PEDRA PRETA),7239,207
Janeiro,PONTE BRANCA (PEDRA PRETA),19101,185
Janeiro,JANGADA,11072,4
Janeiro,NOBRES,4555,287
Janeiro,LIVRAMENTO,17234,4280
Janeiro,SÃO JOSE DO POVO,22631,343
Janeiro,TESOURO,17743,18
Janeiro,CLAUDIA,17421,1
Janeiro,UNIAO DO SUL,11243,8
Janeiro,IPIRANGA DO NORTE,17586,55
Janeiro,ANA TERRA,9254,98
Janeiro,NOVA UBIRATA,1428,1
Janeiro,NOVA BRASILANDIA,11975,43
Janeiro,MANSO,2431,18
Janeiro,SANTA CARMEN,2479,11
Janeiro,TAPURAH,11504,78
Janeiro,FELIZ NATAL,2297,29
Janeiro,VERA,15313,14
Janeiro,PEDRA 90 (CBA),15188,51
Janeiro,POCONE,88150,2823
Janeiro,ROSARIO OESTE,39170,1399
Janeiro,SANTO ANTONIO LEVEGER,10394,614
Janeiro,SINOP SBT,54697,693
Janeiro,SORRISO SBT,27842,11957
Janeiro,ARAGUAIANA,33722,5145
Janeiro,PONTAL DO MARAPE,10453,95
Janeiro,BAUXI,30,0
Janeiro,NORTELANDIA,1001,16
Janeiro,DIAMANTINO(VELHO),7328,268
Janeiro,RANCHAO,3495,640
Janeiro,TREVO DE LIBRA(S.JOSE.R. CLARO),4691,51
Janeiro,PRF020476(NOVA MARILANDIA),220,38
Janeiro,PRF020478(DIAMANTINO),278,0
Janeiro,PRF020472 - SAU 14,594,89
Janeiro,DIAMANTINO (EX-PRF),1175,19
Janeiro,POSTO GIL,225,11
Janeiro,PRF020291(OURO BRANCO),1158,100
Janeiro,JADURE,19327,79
Janeiro,DOM AQUINO - 020598,147,0
Janeiro,SINOP CLARO,856,31
Janeiro,SORRISO 2,19771,3744
Janeiro,BOM JARDIM,30938,4901
Janeiro,PRF020195 (JACIARA),2663,67
Janeiro,SERRA BEROABA (RONDONOPOLIS),4291,317
Janeiro,ALTO ARAGUAIA - 020294,10292,1531
Janeiro,RONDONOPOLIS,1206,71
Janeiro,SÃO LOURENCO FATIMA(JUSCIMEIRA),38115,13382
Janeiro,SANTA ELVIRA (JUSCIMEIRA),6313,21
Janeiro,ITANHANGA,2809,36
Janeiro,GROSLANDIA,5245,24
Janeiro,PRF020697 - SINOP,326,7
Janeiro,PRF020695 - SINOP,1707,121
Janeiro,PRF020472 - LUCAS DO RIO VERDE,1618,141
Janeiro,BOA ESPERANCA (MUNICIPIO),4700,268
Janeiro,PRF020694 (SORRISO PEDAGIO),10018,37
Janeiro,PRF020693 (UOP SORRISO),5991,71
Janeiro,PRF020479 - SAU 12,1338,98
Janeiro,BRIANORTE,593,29
Janeiro,PRF020475 (NOVA MUTUM),671,29
Janeiro,PRF020894 (TABAZUL),6574,147
Janeiro,REP 2 ROTA OESTE (ANHUMAS),19110,2110
Janeiro,SANTIAGO NORTE,1743,14
Janeiro,RONDONOPOLIS 2,29271,10525
