Meses,Zonas,Total Chamadas,Numero de Chamadas com Progresso(feitas)
Julho,MORRO DA LUZ (CBA),168281,5346
Julho,TJMT (CBA),176230,17515
Julho,PARQUE LAGO (VG),133887,3927
Julho,JARDIM GLORIA (VG),111626,183
Julho,BOA ESPERANCA (CBA),106838,44883
Julho,TRES BARRAS (CBA),107101,215
Julho,VILA CANAÃ (VG),90486,9917
Julho,ARENA PANTANAL(CBA),85260,57
Julho,DISTRITO INDUSTRIAL (CBA),99758,4367
Julho,PEDRA 90 (CBA),72285,5175
Julho,SÃO MATHEUS (VG),64278,10675
Julho,SANTO ANTONIO LEVEGER,46834,3215
Julho,POCONE,32217,168
Julho,RONDONOPOLIS,46584,45
Julho,TREVO CHAPADA,25827,75
Julho,CHAPADA DO GUIMARAES,23664,67
Julho,RONDONOPOLIS 2,33084,327
Julho,LIVRAMENTO,19725,452
Julho,ROSARIO OESTE,19969,9
Julho,DOM AQUINO(PEDRA PRETA),19496,5977
Julho,SÃO JOSE DO POVO,19137,661
Julho,DISTRITO DA GUIA,17110,7051
Julho,ALTO TAQUARI,18056,4834
Julho,MANSO,15062,6256
Julho,ITIQUIRA,15676,245
Julho,BARAO MELGAÇO,14827,45
Julho,SORRISO SBT,19018,4
Julho,TESOURO,14726,285
Julho,VERA,14250,98
Julho,UNIAO DO SUL,14235,25872
Julho,SINOP SBT,24541,15
Julho,JACIARA,15572,32
Julho,SINOP CLARO,17200,21
Julho,BARRA DO GARCA 2,16117,5173
Julho,SORRISO 2,15357,14
Julho,REP 2 ROTA OESTE (ANHUMAS),14468,2656
Julho,CLAUDIA,12540,67
Julho,ALTO ARAGUAIA,12713,448
Julho,SERRA BEROABA (RONDONOPOLIS),13029,677
Julho,GENERAL CARNEIRO,10962,29
Julho,BOM JARDIM,10536,19
Julho,GUIRATINGA,10995,887
Julho,BOA ESPERANCA (MUNICIPIO),10906,4
Julho,ACORIZAL,10763,120
Julho,NOVA SÃO JOAQUIM,10607,1
Julho,TORIXOREU,10600,25
Julho,NOVA UBIRATA,10820,84
Julho,PONTE BRANCA (PEDRA PRETA),10380,9
Julho,NOBRES,14369,1880
Julho,RIBEIRAOZINHO,9966,117
Julho,CAMPO VERDE,12473,214
Julho,COXIPO DO OURO (CBA),9304,1
Julho,ARAGUAIANA,9731,721
Julho,SANTA CARMEN,9360,4258
Julho,FELIZ NATAL,9029,187
Julho,NOVA MUTUM,13989,110
Julho,PRF020195 (JACIARA),8800,1
Julho,JANGADA,8647,22
Julho,BARRA DO GARCA 1,18998,51
Julho,SÃO LOURENCO FATIMA(JUSCIMEIRA),8196,49
Julho,IPIRANGA DO NORTE,7986,91
Julho,SANTA ELVIRA (JUSCIMEIRA),7632,217
Julho,ALTO GARÇAS,7172,34
Julho,NORTELANDIA,7194,16
Julho,PRF020291(OURO BRANCO),7017,14
Julho,ITANHANGA,7385,449
Julho,SANTO AFONSO,6779,6
Julho,AGROVILA PALMEIRAS,6375,19
Julho,JUSCIMEIRA,6673,2456
Julho,NOVA MARILANDIA,6530,1321
Julho,LUCAS DO RIO VERDE,12605,1132
Julho,PRF020894 (TABAZUL),6262,657
Julho,PRIMAVERA DO LESTE,11122,10391
Julho,POXOREO,5890,3687
Julho,SÃO JOSE RIO CLARO,5623,121
Julho,PRF020694 (SORRISO PEDAGIO),5625,92
Julho,DECIOLANDIA,5359,146
Julho,TAPURAH,5819,123
Julho,BAUXI,5195,692
Julho,SANTO ANTONIO LESTE,5045,68
Julho,ARENAPOLIS,5162,26
Julho,SANTA RITA DO TRIVELATO,4924,13
Julho,RANCHAO,4668,12
Julho,DIAMANTINO(VELHO),4775,30
Julho,ALTO PARAGUAI,3615,14
Julho,PRF020472 - LUCAS DO RIO VERDE,3239,21
Julho,ANA TERRA,3014,5
Julho,DIAMANTINO(NOVO),2843,0
Julho,DOM AQUINO - 020598,2013,108
Julho,PARANATINGA,2580,3752
Julho,POSTO GIL,1775,2262
Julho,SANTIAGO NORTE,1241,22
Julho,PRF020695 - SINOP,1209,527
Julho,GAUCHA NORTE,1212,1432
Julho,PRF020697 - SINOP,1190,35
Julho,ERB MOVEL,1655,14132
Julho,PRF020476(NOVA MARILANDIA),1055,131
Julho,ARAGUAINA,1004,84
Julho,PRF020472 - SAU 14,849,550
Julho,PRF020478(DIAMANTINO),848,58
Julho,ALTO ARAGUAIA - 020294,824,46
Julho,NOVA BRASILANDIA,709,56
Julho,PRF020693 (UOP SORRISO),722,258
Julho,PONTAL DO MARAPE,653,99
Julho,DOM AQUINO,602,166
Julho,PLANALTO DA SERRA,535,45
Julho,PRF020475 (NOVA MUTUM),561,17
Julho,PRF020479 - SAU 12,471,7
Julho,GROSLANDIA,456,55
Julho,TREVO DE LIBRA(S.JOSE.R. CLARO),382,132
Julho,DIAMANTINO (EX-PRF),259,1377
Julho,NOVA MARINGA,165,40
Julho,JADURE,49,10019
Julho,BRIANORTE,43,240
