Meses,Zonas,Total Chamadas,Numero de Chamadas com Progresso(feitas)
Outubro,ARENA PANTANAL(CBA),100938,1
Outubro,MORRO DA LUZ (CBA),201159,2
Outubro,JARDIM GLORIA (VG),139908,3
Outubro,DISTRITO DA GUIA,18730,4
Outubro,TJMT (CBA),208073,5
Outubro,TREVO CHAPADA,31314,16
Outubro,SÃO MATHEUS (VG),57028,17
Outubro,COXIPO DO OURO (CBA),12015,18
Outubro,BOA ESPERANCA (CBA),125515,19
Outubro,VILA CANAÃ (VG),111545,10
Outubro,BARRA DO GARCA 1,22762,11
Outubro,BARRA DO GARCA 2,17075,12
Outubro,GENERAL CARNEIRO,10846,13
Outubro,NOVA SÃO JOAQUIM,9767,14
Outubro,RIBEIRAOZINHO,8455,15
Outubro,TORIXOREU,10691,16
Outubro,ALTO PARAGUAI,8606,17
Outubro,ARENAPOLIS,7128,18
Outubro,DECIOLANDIA,21208,19
Outubro,PARQUE LAGO (VG),178068,20
Outubro,CHAPADA DO GUIMARAES,24217,121
Outubro,TRES BARRAS (CBA),123368,122
Outubro,NOVA MUTUM,14735,123
Outubro,LUCAS DO RIO VERDE,14399,124
Outubro,DIAMANTINO(NOVO),6635,125
Outubro,NOVA MARILANDIA,6938,126
Outubro,NOVA MARINGA,1827,127
Outubro,SANTA RITA DO TRIVELATO,5057,128
Outubro,SANTO AFONSO,7482,129
Outubro,DISTRITO INDUSTRIAL (CBA),120337,130
Outubro,AGROVILA PALMEIRAS,11332,131
Outubro,BARAO MELGAÇO,21049,132
Outubro,PLANALTO DA SERRA,243,133
Outubro,PRIMAVERA DO LESTE,10411,134
Outubro,SÃO JOSE RIO CLARO,4641,135
Outubro,CAMPO VERDE,8600,136
Outubro,GAUCHA NORTE,1371,137
Outubro,ACORIZAL,9345,138
Outubro,PARANATINGA,2118,139
Outubro,POXOREO,5550,140
Outubro,SANTO ANTONIO LESTE,4649,141
Outubro,ALTO ARAGUAIA,10494,142
Outubro,ALTO GARÇAS,14310,143
Outubro,ALTO TAQUARI,4616,144
Outubro,ARAGUAINA,1788,145
Outubro,DOM AQUINO,5489,146
Outubro,GUIRATINGA,14087,147
Outubro,ITIQUIRA,15912,148
Outubro,JACIARA,16655,149
Outubro,JUSCIMEIRA,8377,150
Outubro,DOM AQUINO(PEDRA PRETA),19996,151
Outubro,PONTE BRANCA (PEDRA PRETA),10894,152
Outubro,JANGADA,16273,153
Outubro,NOBRES,12183,154
Outubro,LIVRAMENTO,22758,155
Outubro,SÃO JOSE DO POVO,19575,156
Outubro,TESOURO,18441,157
Outubro,CLAUDIA,7816,158
Outubro,UNIAO DO SUL,10615,159
Outubro,IPIRANGA DO NORTE,8330,160
Outubro,ANA TERRA,289,161
Outubro,NOVA UBIRATA,10235,162
Outubro,NOVA BRASILANDIA,144,163
Outubro,MANSO,8092,164
Outubro,SANTA CARMEN,9196,165
Outubro,TAPURAH,7241,166
Outubro,FELIZ NATAL,13011,167
Outubro,VERA,14865,168
Outubro,PEDRA 90 (CBA),82159,169
Outubro,POCONE,32167,170
Outubro,ROSARIO OESTE,6793,171
Outubro,SANTO ANTONIO LEVEGER,56123,172
Outubro,SINOP SBT,34084,173
Outubro,SORRISO SBT,29888,174
Outubro,ARAGUAIANA,10285,175
Outubro,PONTAL DO MARAPE,221,176
Outubro,BAUXI,1067,177
Outubro,NORTELANDIA,8135,178
Outubro,DIAMANTINO(VELHO),8037,179
Outubro,RANCHAO,4961,180
Outubro,TREVO DE LIBRA(S.JOSE.R. CLARO),757,181
Outubro,PRF020476(NOVA MARILANDIA),1904,182
Outubro,PRF020478(DIAMANTINO),3712,183
Outubro,PRF020472 - SAU 14,459,184
Outubro,DIAMANTINO (EX-PRF),436,185
Outubro,POSTO GIL,2137,186
Outubro,PRF020291(OURO BRANCO),14040,187
Outubro,JADURE,1863,188
Outubro,DOM AQUINO - 020598,15221,189
Outubro,SINOP CLARO,27504,190
Outubro,SORRISO 2,4164,191
Outubro,BOM JARDIM,5080,192
Outubro,PRF020195 (JACIARA),550,193
Outubro,SERRA BEROABA (RONDONOPOLIS),56730,194
Outubro,ALTO ARAGUAIA - 020294,14087,195
Outubro,RONDONOPOLIS,8640,196
Outubro,SÃO LOURENCO FATIMA(JUSCIMEIRA),5310,197
Outubro,SANTA ELVIRA (JUSCIMEIRA),288,198
Outubro,ITANHANGA,706,199
Outubro,GROSLANDIA,1425,200
Outubro,PRF020697 - SINOP,4887,201
Outubro,PRF020695 - SINOP,8101,202
Outubro,PRF020472 - LUCAS DO RIO VERDE,9450,203
Outubro,BOA ESPERANCA (MUNICIPIO),892,204
Outubro,PRF020694 (SORRISO PEDAGIO),415,205
Outubro,PRF020693 (UOP SORRISO),178,206
Outubro,PRF020479 - SAU 12,937,207
Outubro,BRIANORTE,10630,208
Outubro,PRF020475 (NOVA MUTUM),11747,209
Outubro,PRF020894 (TABAZUL),368,210
Outubro,REP 2 ROTA OESTE (ANHUMAS),38406,211
Outubro,SANTIAGO NORTE,843,212
